"Test sayisi","Vaka sayisi","Vefat sayisi","Iyilesen sayisi","date"
14396,2148,63,90,"1 NISAN 2020"
18757,2456,79,82,"2 NISAN 2020"
16160,2786,69,69,"3 NISAN 2020"
19664,3013,76,302,"4 NISAN 2020"
20065,3135,73,256,"5 NISAN 2020"
21400,3148,75,284,"6 NISAN 2020"
20023,3892,76,256,"7 NISAN 2020"
24900,4117,87,264,"8 NISAN 2020"
28578,4056,96,296,"9 NISAN 2020"
30864,4747,98,281,"10 NISAN 2020"
33170,5138,95,542,"11 NISAN 2020"
35720,4789,97,481,"12 NISAN 2020"
34456,4093,98,511,"13 NISAN 2020"
